,Statement,Label,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,causet,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives_,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,assent,netspeak,nonflu,filler
2396,"Austin has over 1,000 city employees that make six-figure salaries.",0,3,1,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2397,Every signer of the Declaration of Independence had no federal elected office experience.,1,5,0,0,0,0,0,0,0,0,1,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2398,The state [food stamp call center] program is administered from foreign shores.,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2399,Says the acting chief of the IRS said he and the majority of IRS employees would rather stay with his current health plan than switch to Obamacare.,0,13,2,2,0,0,0,2,0,0,3,5,1,1,1,0,3,1,1,0,0,1,0,0,0,0,0,0,3,0,0,0,2,3,0,0,2,0,0,2,1,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2400,Florida is now the No. 1 state in the country for automobile accident fraud.,0,6,0,0,0,0,0,0,0,0,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2401,When I took office last year we faced historic budget deficits of $6 billion here in Virginia. And we closed those deficits by cutting spending.,1,7,3,2,0,2,0,0,0,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,1,0,0,3,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0
2402,All University of Texas student-athletes get an iPad.,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2403,There was no surge in 501(c)(4) applications in 2010.,0,4,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2404,"Says 10 days after Hurricane Katrina, this chamber passed two separate bills amounting to $60 billion. It has been nearly two months since we had Superstorm Sandy, and nothing has passed.",0,12,2,1,0,1,0,0,0,1,0,3,4,1,1,1,5,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,3,0,3,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0
2405,President Barack Obamas budget threatens national security by proposing an Army of fewer personnel than we had before Pearl Harbor.,1,7,1,1,0,1,0,0,0,0,1,4,1,0,0,0,1,4,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2406,"The extra point is almost automatic. (The NFL) had five missed extra points this year out of 1,200 some odd attempts.",0,6,1,0,0,0,0,0,0,1,0,2,2,1,0,0,3,2,0,0,1,3,1,0,1,0,0,1,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2407,"Says that under his tax plan, no matter where you are in the stratosphere, youre going to be getting a tax cut.",1,13,4,3,0,0,2,1,0,1,2,3,3,1,0,1,5,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,4,1,4,1,2,1,2,0,0,2,0,0,0,0,0,0,0,0
2408,We have a governor whos vetoed measures like increasing our minimum wage and restoring the earned income tax cut.,0,7,2,1,0,1,0,0,0,1,2,1,1,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,1,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0
2409,Says Milwaukee County buses are no less safe now than a year or two ago.,1,6,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,3,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2410,Says the average government worker wont be impacted in the first two years under the reform of state health benefits.,1,8,0,0,0,0,0,0,0,0,3,3,2,0,0,1,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,1,0,0,0,1,1,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
2411,Says she voted for a statewide fracking ban.,0,3,1,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2412,"Planned Parenthood is the only health care that a significant number of women get. About 30 percent of women, thats their health care.",1,8,2,0,0,0,0,0,0,2,2,2,2,1,0,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2413,The federal limousine fleet has increased by 42 percent since Barack Obama took office.,1,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2414,"Says Texas has been waiting for two years for the federal government to act on a proposal to allow the state to ""create insurance opportunities for those that are uninsured today.""",1,15,2,0,0,0,0,0,0,2,3,7,3,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,3,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0
2415,Says he was endorsed by theValley News newspaper.,1,3,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2416,John McCain voted against funding the troops because of . . . a timeline in it to draw down American troops.,0,9,1,0,0,0,0,0,0,1,2,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0
2417,"We had a massive landslide victory, as you know, in the Electoral College.",1,6,1,1,0,0,1,0,0,0,2,2,1,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2418,More people have been put on food stamps by Barack Obama than any president in American history.,0,6,0,0,0,0,0,0,0,0,0,4,2,0,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2419,A new bill was written into the new health care reform initiative ensuring that Congress will be 100 percent exempt.,1,6,1,0,0,0,0,0,0,1,1,1,3,0,0,0,5,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,1,3,0,1,2,1,0,0,1,0,0,0,0,0,0,0,0
2420,Says President Barack Obama attacked potential terrorist targets in Syria in the middle of the night to minimize terrorist casualties.,1,6,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2421,Says Nevadans will have a double-digit hike in their Obamacare premiums for the year and 10 of Nevadas 16 counties will only have one Obamacare...exchange insurer,0,11,0,0,0,0,0,0,0,0,2,3,4,1,1,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2422,"If Rhode Island raises the meal and beverage tax to 10 percent, it would be the fourth-highest in the nation.",0,9,1,0,0,0,0,0,0,1,3,2,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
2423,Says the Austin chapter of the League of Women Voters has no Republicans among elected officers or on its debate committee.,0,9,1,0,0,0,0,0,0,1,2,3,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2424,"Voting in the wrong precinct led to over 14,000 registered voters statewide to lose their vote in 2008.",0,6,0,0,0,0,0,0,0,0,1,5,0,0,0,0,1,1,0,0,0,0,2,0,2,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,2,1,3,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2425,"While CEOs of some large charities have big salaries, the heads of some veterans groups do the job for free.",1,7,0,0,0,0,0,0,0,0,2,3,2,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,2,0,0,2,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2426,"Says that according to a report, the tech sector now drives more than one-quarter of Austins economy.",0,7,1,0,0,0,0,0,0,1,2,3,0,1,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2427,"The form students fill out to get college financial aid is ""longer than the form to get U.S. citizenship.""",1,6,0,0,0,0,0,0,0,0,1,4,1,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2428,"In Harrisburg, I passed more bills than all the Democrats combined, in terms of legislation affecting the city.",0,5,0,0,0,0,0,0,0,0,2,3,0,0,0,0,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2429,"Says Obama wants to give (Iran) nuclear weapons and Michael Bennet, he was all for it.",1,5,1,1,0,0,0,1,0,0,0,2,1,0,1,0,3,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2430,"This year, Newt Gingrich has raised as much money as Mitt Romney, Tim Pawlenty, Sarah Palin, and Mike Huckabee combined.",0,4,0,0,0,0,0,0,0,0,0,2,1,0,3,0,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2431,"Over the last 40 years, real wage growth has been flatlined because of the policies of the Federal Reserve ... It was all driven by the Federal Reserve.",1,11,0,0,0,0,0,0,0,0,4,3,3,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2432,"Seniors will have to find $12,500 for health care because Republicans voted to end Medicare.",1,6,0,0,0,0,0,0,0,0,0,3,2,0,1,0,5,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2433,"Says she has bipartisan support, including 53 sheriffs throughout the state, Democrats and Republicans.",0,5,1,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2434,Says Hillary Clinton has been given tens of millions of dollars by countries that treat women horribly ...and countries that kill gays.,0,7,2,0,0,0,0,0,0,2,0,3,2,0,0,0,3,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2435,"President Obama promised families making less than $250,000 a year would not see taxes go up, but Obamacare raises 18 different taxes.",1,5,0,0,0,0,0,0,0,0,1,1,1,0,1,1,4,3,3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,6,0,1,1,0,0,4,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,2,1,0,1,1,1,1,1,0,0,0,0,0,0,0,0
2436,"In Texas, a faceless hospital panel can deny life-sustaining care, giving you only 10 days to find another facility for your mother, dad, or young child, even if the patient is conscious.",0,13,3,2,0,0,2,0,0,1,2,2,2,2,2,0,4,1,0,0,0,1,1,1,0,0,0,0,3,0,0,0,0,3,1,0,1,2,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2437,The polls show over half of Americans identify themselves as being pro-life.,1,5,1,1,0,0,0,0,1,0,0,3,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2438,"One in four Texans lacks health insurance, the highest proportion in the nation.",0,4,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,1,0,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2439,On repeal and replace of federal health care reform.,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2440,Under the Obama economy ... utility bills are higher.,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2441,Our real unemployment is anywhere from 18 to 20 percent. Dont believe the 5.6. Dont believe it.,1,5,0,0,0,0,0,0,0,0,1,2,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2442,House Republicans just passed a bill that makes it legal for single mothers to be fired by their employers.,1,8,2,0,0,0,0,0,0,2,1,3,1,1,0,0,3,1,0,0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0
2443,This president has offered fewer executive actions than almost any other president preceding his presidency in recent history.,0,6,2,1,0,0,0,1,0,1,0,2,1,1,0,0,1,2,2,0,0,2,0,0,0,0,0,0,1,0,0,0,1,4,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2444,Says Barack Obama and his team are socialists in every respect of the word.,1,6,1,1,0,0,0,1,0,0,1,2,1,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2445,The (Jackson) plan (for reforming Cleveland schools) lacks any data or methods proven to raise student achievement.,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2446,"Under Scott Walkers policies, the typical Wisconsin family has actually seen their real income drop by nearly $3,000 in the last four years.",1,7,0,0,0,0,0,0,0,0,2,2,1,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,2,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0
2447,Says Ronald Reagan got the Saudis to flood the market with cheap oil.,1,4,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2448,"Says. Rep. Joe Barton, R-Texas, once said, Wind is a finite resource and harnessing it would slow the winds down, which would cause the temperature to go up.",1,10,2,0,0,0,0,0,0,2,3,1,3,0,1,0,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0
2449,People are five to seven times more likely to be murdered in workplaces that allow firearms than in those that prohibit it.,0,10,3,0,0,0,0,0,0,3,0,5,2,0,0,0,2,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2450,U.S. Rep. Patrick Murphy voted to allow members of Congress to receive taxpayer-funded health care for life.,1,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2451,"Under Floridas voting law, a requirement to turn in voter registrations within 48 hours makes it impossible to meet the deadline if youre working right to the end of the week.",1,13,2,1,0,0,1,0,0,1,4,6,1,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,1,2,1,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,7,0,5,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0
2452,There are a multitude of vaccines that do not prevent deadly and crippling diseases.,1,7,1,0,0,0,0,0,0,1,1,1,2,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2453,We dont have bars on campus in Texas. Its against the law... no alcohol allowed.,1,7,0,0,0,0,0,0,0,0,1,3,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
2454,Says there have been well over 54 million abortions since 1973.,0,6,0,0,0,0,0,0,0,0,0,2,2,2,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0
2455,China holds 26 percent of the U.S. debt.,1,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2456,Says Portland has higher standards than feds on allowed police use of force.,0,4,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2457,Ed Perlmutter voted for Viagra for rapists paid for with tax dollars.,1,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0
2458,Cobb County businesses have already been awarded contracts worth $250 million on construction of a new Braves stadium.,0,6,0,0,0,0,0,0,0,0,1,2,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0
2459,A National Football League lockout would cost Atlanta $160 million in lost jobs and revenue.,1,3,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2460,Ronald Reagan met with Gorbachev; Kennedy met with Khruschev; and Nixon met with Mao and these were folks who have done horrendous damage not only to their own countries but to other countries.,0,16,3,0,0,0,0,0,0,3,0,5,3,1,3,1,6,0,0,1,0,0,0,0,0,0,0,0,5,1,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2461,Vern Buchanan has been completely exonerated in a Federal Election Commission action.,1,5,0,0,0,0,0,0,0,0,1,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2462,Says Wisconsin Gov. Scott Walkers budget calls for raising property taxes by nearly $500 billion.,1,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
2463,The Latino unemployment rate is higher than the white rate and the black rate is higher than the Latino rate.,0,8,0,0,0,0,0,0,0,0,3,2,2,0,1,0,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,2,2,0,0,0,0,0,0,0,2,0,0,2,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2464,Says the Obama administration never responded to his 2012 letter flagging the uptick in unaccompanied children crossing the U.S.-Mexico border.,0,7,1,1,0,0,0,1,0,0,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2465,President Obama has spent over $2 million in legal fees defending lawsuits about his birth certificate.,1,5,1,1,0,0,0,1,0,0,0,3,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,2,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0
2466,Says this House processed and approved as many bills as previous Legislatures.,1,4,1,0,0,0,0,0,0,1,0,2,0,0,3,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2467,"Biden was responsible for ""ending genocide in Bosnia.""",1,3,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2468,The last three days of early voting happen to be the most populated days of voting that we have in early voting.,0,9,2,1,0,1,0,0,0,1,1,4,2,0,0,0,5,3,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
