,statement,label
2499,Says he sued Obamas EPA seven times.,Not Fake
2500,A working woman will earn $7.70 on $10.,Not Fake
2501,"Even when all other state agencies took cuts, Gov. [Nathan] Deal increased education spending every year.",Fake
2502,"Georgia is now the eighth most populous state in the nation, moving from the number 10 position in just four years.",Not Fake
2503,"Says Travis County Sheriff Greg Hamilton has accepted $42,000 from strip-club interests and $10,000 from local alcohol distributors.",Not Fake
2504,"President Obama will now own 60 percent of GM, and his union buddies will own almost 20 percent.",Not Fake
2505,If upstate New York split from downstate the economic indicators of upstate New York would be among the lowest in the country.,Not Fake
2506,"Says that since lawmakers acted, we have 130 new businesses across Texas doing helicopter hog hunts.",Fake
2507,When New York Gov. Eliot Spitzer wanted to provide drivers licenses to those who are undocumented. (Hillary Clinton) said dont do it.,Not Fake
2508,"Cass Sunstein, President Obama's nominee for regulatory czar, ""wants to give legal standing to animals so they can sue you for eating meat.""",Not Fake
2509,"Gas prices have doubled because Obama opposed exploring for energy in Alaska. He gave millions of tax dollars to Solyndra, which then went bankrupt. And he blocked the Keystone pipeline. So we will all pay more at the pump.",Fake
2510,Californias credit rating is the worst in the country.,Not Fake
2511,The price of gasoline was at $1.85 a gallon when President Barack Obama took office and has since nearly doubled because of his policies,Fake
2512,"Says Lee Leffingwell has been mayor of Austin, Texas for about as long as Sarah Palin was governor of Alaska.",Fake
2513,"Just in the past 10 years, college tuition has increased 28 percent.",Not Fake
2514,"Gov. (Scott) Walker has yet to create a job, he gives away millions to his friends, and he raises taxes on working people.",Fake
2515,"Because of President Barack Obamas failure to push job creation, the black unemployment rate in Ferguson, Mo., is three times higher than the white unemployment rate.",Fake
2516,"70 percent of the people who voted on June 5, 2012, just didnt feel comfortable with the recall of the governor, weakening any idea that Wisconsin is fully behind this Walker agenda.",Not Fake
2517,"A sign in Dearborn, Mich., for the Advancement of Islamic Agenda for America says, Allah be praised. America we will kill you all and nothing you can do to stop it.",Fake
2518,Obama regime planned the influx of illegal alien children at the border.,Fake
2519,"134,000 (criminal) aliens have been released by the (Obama) administration in just the past two years.",Not Fake
2520,"Says if you are shot in the city of Newark, you have over an 80 percent chance that youve been arrested before an average of 10 times.",Not Fake
2521,"When it comes to taking cuts in tough budget times, Wisconsin state workers havent had to sacrifice.",Fake
2522,Says Donald Trump has been talking about the option of using a nuclear weapon against our Western European allies.,Fake
2523,McCain intervened on behalf of Charles Keating with federal regulators... that allowed Keating to continue his fraud at an incredible cost to taxpayers.,Not Fake
2524,Says the National Labor Relations Board told Boeing that it couldnt build a factory in South Carolina because South Carolina is a right-to-work state.,Fake
2525,"Since Newtown, more people have died at the end of a gun than we have lost in Afghanistan.",Not Fake
2526,"The Trump Winery near Charlottesville, Va. is the largest winery on the East Coast.",Fake
2527,Only 18 percent of jobs are accessible by transit for metro Atlanta residents. 33 percent for those living in the city.,Not Fake
2528,"Why would our president close the embassy to the Vatican? Hopefully, it is not retribution for Catholic organizations opposing Obamacare.",Fake
2529,"With those first principles, it allowed a fellow like me to get in his truck and go from one end of the state to the other; started 20 points down and wound up 20 points ahead on election night.",Not Fake
2530,I have the No. 1 show on NBC.,Not Fake
2531,Says Judge JoAnne Kloppenburg agreed to use a technicality to give a convicted sex offender a new hearing because he didnt understand the charge.,Fake
2532,"According to a government supplier of emergency products, the Disaster Assistance Response Team was told to be prepared to be activated in the month of October for an outbreak of Ebola.",Fake
2533,That luxury jet was over the top. I put it on eBay.,Not Fake
2534,Thirty-five states have accepted high-speed intercity rail money.,Not Fake
2535,Says Hillary Clinton completely ignored dozens and dozens of requests for more security for the Benghazi consulate.,Not Fake
2536,There is no evidence to support the claim that Guantanamo is used as a recruiting tool for terrorists.,Not Fake
2537,Says Obama has doubled the stock market from where we started when he was sworn into office,Fake
2538,On supporting the budget proposed by Rep. Paul Ryan,Fake
2539,"When I became governor, I inherited a large deficit. You know what? We just turned that into the largest surplus in Virginia history.",Fake
2540,My support from young voters -- those 18 to 24 -- in November 2014 was largely unheard of for a Republican.,Not Fake
2541,Obamacarerepresents the largest tax increase in the history of the world.,Fake
2542,"John McCain opposed bankruptcy protections for families ""who were only in bankruptcy because of medical expenses they couldn't pay.""",Not Fake
2543,"Even a 100 percent tax on millionaires would only fund four months of government operations, failing to seriously address budget deficits and debt.",Not Fake
2544,Thousands of Westerners and Americans are fighting with extremists in eastern Syria and Iraq.,Not Fake
2545,Claims Supreme Court Justice Ruth Bader Ginsburg said she prefers the South African Constitution over the United States Constitution.,Fake
2546,Says Hillary Clinton was literally present when we pressed the reset button with Russia just a few months after Russia had invaded Georgia.,Not Fake
2547,Our national debt ... is on track to exceed the size of our entire economy ... in just two more years.,Not Fake
2548,I will keep taxes low and cut them where I can. My opponent will raise them.,Not Fake
2549,"The IRS filed an $11,000 lien against (Allen) West for back taxes. Three liens were placed on his home for unpaid bills, and a judge ordered West to pay over $5,000 for past due credit card bills.",Not Fake
2550,Says we could have saved ourselves the cost of building the Powell Butte water reservoir.,Fake
2551,Says he would have almost twice the actual experience practicing law Greg Abbott did on becoming attorney general of Texas.,Not Fake
2552,Gubernatorial candidate Maggie Hassan supported 33 tax and fee increases as Senate Majority Leader.,Not Fake
2553,Says challenger Dominic Chavez is a Rick Perry Republican lobbyist.,Fake
2554,"If you take into account all the people who are struggling for work, or have just stopped looking, the real unemployment rate is over 15 percent.",Not Fake
2555,A congressional laundry closed due to the partial government shutdown.,Not Fake
2556,"Says Scott Walker cut taxes for the wealthiest and raised taxes on 140,000 Wisconsin families.",Not Fake
2557,"If you work 40 hours a week at the proposed minimum wage of $10.10 an hour, you get out of poverty.",Not Fake
2558,"In one Colorado hospital, 50 percent of newborns tested had marijuana in their system.",Not Fake
2559,"Republicans included the Akin amendment in the Republican Party platform, which bans abortion, even for rape victims.",Not Fake
2560,"Says that under City Council Member Randi Shade, Austin had the highest city debt per person in Texas.",Fake
2561,Gross income tax receipts are exceeding the Administrations projections for this fiscal year prior to Sandy.,Not Fake
2562,"Because of a local version of Amendment 4, the taxpayers of St. Pete Beach have had to pay hundreds of thousands in legal bills.",Not Fake
2563,"Doctors, nurses, hospitals, even the pharmaceutical industry, (and) AARP say that health reform makes sense to do.",Not Fake
2564,Barack Obama loves Che Guevara.,Fake
2565,Says Betty Sutton and House Democrats gutted Medicare by $741 billion to pay for Obamacare.,Fake
2566,One out of four corporations doesnt pay a nickel in (federal income) taxes.,Not Fake
2567,Were one of the only communities in the country that didnt lose population in the last census.,Fake
2568,I had five of my citizens that were killed last week because of border security problems.,Not Fake
2569,There were more job losses per month in the last three months under President Bush than in the past three months under President Obama.,Not Fake
2570,Says the U.S. election system is rigged.,Fake
2571,Oregon and the federal government now have more than one million acres of burnt land and millions of trees are being left to rot.,Not Fake
2572,This (Independent Payment Advisory Board) board can ration care and deny certain Medicare treatments so Washington can fund more wasteful spending.,Fake
2573,The cheerleaders for the Dallas Cowboys have entertained more troops in the world than Bob Hope.,Fake
2574,"Scary fact about our national debt. In 1791 it was $75 million. Today, it rises by that amount in about an hour.",Not Fake
2575,Says he earned the highest possible credit ratings as state treasurer.,Not Fake
2576,"Fifteen years ago, you couldnt even get a pizza delivered in that neighborhood.",Fake
2577,"Romneycare is a top-down, government-run health care system.",Fake
2578,The Capitol rotunda was actually made to invite the people in and to accommodate protests.,Not Fake
2579,I said two years ago that the Fannie and Freddie thing was a very serious problem and we had to work on it.,Fake
2580,Says he has yet to get a response from Barack Obama to his August 2010 letter making border security requests.,Fake
2581,More preschoolers are shot dead each year than police officers are in the line of duty.,Not Fake
2582,The health care reform law reduces the deficit by nearly $1.2 trillion over the next two decades.,Not Fake
2583,Says Hillary Clinton erased all of her emails even though they were subject to recall and review by Congress.,Fake
2584,"Over 214,000 doctors opt out of Obamacare exchanges.",Fake
2585,The 2011-13 state budget cuts overall funding for public schools by $1.6 billion,Fake
2586,Americans havent had a raise in 15 years.,Not Fake
2587,Says a $12.5 million incentive deal she approved for Abbott Laboratories contained strong protections for taxpayers if job creation goals were not met.,Fake
2588,"We had bipartisan legislation that got through the Senate that would have prevented bonuses like AIG's ""and then somehow mysteriously disappeared.""",Not Fake
2589,The United States has one of the highest corporate tax rates in the world.,Not Fake
2590,"Barack (Obama) has one of his biggest supporters in terms of funding, the Exelon Corporation, which has spent millions of dollars trying to make Yucca Mountain the waste depository.",Not Fake
2591,Bill White is discriminating. Hes taking jobs from African Americans and giving them to his friends.,Fake
2592,A legacy of taxing and borrowing crippled the economy we inherited two years ago.,Fake
2593,The Arizona State Board of Educations failure to report teachers whose certifications have been revoked or suspended ... resulted in the death of a student.,Not Fake
2594,Law enforcement in the state of Arizona supports the state's new immigration law.,Not Fake
2595,"Charlie Crist ""bizarrely vetoed"" $9.7 million for a teaching hospital at the University of Florida ""despite having previously argued the budget request had merit.""",Not Fake
2596,"Obama creates new tax on Christmas trees, fees get passed on to consumers.",Fake
2597,That 59 divisions in Philly had no votes for Romney in 2012 is (a) mathematical and statistical impossibility.,Fake
2598,About 70 percentof Republicans nationwide ...dont think Donald Trump is the right guy to take on Hillary Clinton in November.,Not Fake
2599,Says Barack Obama has gone from blaming George W. Bush to plagiarizing George W. Bush.,Fake
2600,Women still earn about 77 cents for every dollar a man earns for working the same job.,Fake
2601,Donald Trump says all Mexicans are rapists.,Fake
2602,House Speaker Nancy Pelosi said this week that the Democrats have to pass their terrible health care bill so that the American people can actually find out what's in it.,Not Fake
2603,2008: Unions Spent $400 Million to Elect Obama.,Fake
2604,Says Texas high school graduates must pass Algebra II to be eligible for automatic admission to states public universities.,Fake
2605,"Israel in the last three weeks haskilled more Palestinian children, more than 200, than the total number of Israeli soldiers killed in military operations since 2006.",Not Fake
2606,Our graduation rate is the highest it's ever been.,Not Fake
2607,"Terrorist detainees were not covered by the Geneva Convention. They were unlawful combatants. And under those circumstances, they were not entitled to the normal kinds of courtesies and treatment.",Fake
2608,"Says Patrick Murphy supports a gun ban on commonly owned semi-automatic firearms used for hunting, recreational shooting and self defense.",Not Fake
2609,"There are many studies that indicate that the longer people get unemployment insurance, it provides some disincentive to work.",Not Fake
2610,"Says Mary Burkes 2007-09 state budget had a tax hike of $1.8 billion -- costing every man, woman and child in the state an extra $310.",Fake
2611,"Under current law, if you go on a dating website and you say youre 32 and youre actually 42, youve committed a misdemeanor.",Not Fake
2612,The proposed raises for the Norcross City Council would put it in line with other liked-sized communities.,Not Fake
2613,"There has never been a death caused by a [commercial nuclear] reactor in the United States, even when Three Mile Island failed in the 1970s.",Not Fake
2614,"Obama spent ""40 percent of the PAC money, 43 percent to be exact, on Iowa, New Hampshire, Nevada and South Carolina politicians.""",Not Fake
2615,"For the first time in history, my administration posts our White House visitors online.",Not Fake
2616,Says Texas ranks last in the percentage of residents with high school diplomas.,Not Fake
2617,The climate hasnt warmed in quite a few years. That is proven scientifically.,Fake
2618,Says Bruce Springsteen played in 1975 at Seton Hall University in South Orange at Walsh gym.,Not Fake
2619,"In the fall of 2009, only 21 percent of Texas high school graduates enrolled in a four-year public university.",Not Fake
2620,A North Carolina study proves that probably over a million people voted twice in (the 2012) election.,Fake
2621,Tarpon Springs takes its homeless to St. Petersburg.,Fake
2622,The overall fact about illegal immigration is that its not actually getting worse.,Not Fake
2623,Says Hillary Clinton has been in office and in government longer than anybody else running here tonight.,Fake
2624,More people are apprehended after illegally crossing the U.S.-Mexico border a week than are born in Texas each week.,Not Fake
2625,"For more than 30 years after World War II, there was a steady reduction in U.S. debt as a percentage of gross domestic product.",Not Fake
2626,"While I was working on those streets watching those folks see their jobs shift overseas, you were a corporate lawyer sitting on the board at Wal-Mart.",Not Fake
2627,The United States sends $300 billion -- half our trade deficit -- overseas for oil to unstable and unfriendly regimes.,Not Fake
2628,Our population has grown from about 1 million in the 1970s to almost 7 million today.,Not Fake
2629,Says its estimated that 300 babies a year are sent home from the hospital with an unrecognized congenital heart defect; it is the most common birth defect in America.,Not Fake
2630,"Since President Obama took office, gas prices have gone up 67 percent.",Not Fake
2631,Rick Scott tried to slash school funding by $3.3 billion.,Not Fake
2632,The health care reform bill would make it mandatory absolutely require that every five years people in Medicare have a required counseling session that will tell them how to end their life sooner.,Fake
2633,"Before Act 10, the total cost of public sector employees employment was 29 percent higher than that in the private sector. After the act, its still 22 percent higher.",Fake
2634,"When President Franklin D. Roosevelt started Social Security, it only affected widows and orphans, and when Medicare began, it was a small program.",Fake
2635,The deficit was on track to top $1 trillion the year I took office.,Not Fake
2636,We paid down the debt for four years -- paid down $600 billion on the national debt.,Not Fake
2637,A vast majority of the production in the United States comes from small independent oil and gas companies.,Not Fake
2638,"As part of legislative fights over abortion rights,Mike Coffman co-sponsored a bill to redefine rape.",Not Fake
2639,"An Army report stated Allen West performed illegal acts, merited court martial, faced 11 years in prison.",Not Fake
2640,"Says each year approximately 30,000 people in the United States die as a result of gunfire, and about 80,000 people are wounded.",Not Fake
2641,"In this city, there hasnt been a stadium thats lasted more than 27 years.",Not Fake
2642,"When he served as governor, Schwarzenegger preserved more land than any other gubernatorial administration in Californias history.",Not Fake
2643,"More people are driving under the influence of drugs than are driving under the influence of alcohol. A recent roadside survey showed that 16 percent of the people tested, tested positive for illicit or licit drugs. Thats significantly higher than alcohol.",Not Fake
2644,"Says Florida U.S. Reps. Corrine Brown, Alcee Hastings and Frederica Wilson are Socialists.",Fake
2645,Rep. Peter Petrarca voted on two pieces of legislation that helped auto body shops ... and at that point I think there is a conflict of interest.,Not Fake
2646,Says Hillary Clinton refuses to testify before Congress about the 2012 attack in Benghazi.,Fake
2647,Commerce Secretary nominee John Bryson appears to endorse world government.,Fake
2648,"Obama says McCain went to Bermuda and ""pledged to protect tax breaks for American corporations that hide their profits offshore.""",Not Fake
2649,Says Texas is last in mental health expenditures.,Not Fake
2650,Says Rob Portman even voted to allow people on the terrorism watch list to buy guns.,Fake
2651,Says the Obama Administration has fulfilled all of Texas requests for fire management assisting grants.,Not Fake
2652,Says federal debt doubled during the Bush administration.,Not Fake
2653,"The administration raises revenue for nationalized health care through a series of new taxes, including a light switch tax that would cost every American household $3,128 a year.",Fake
2654,Offshore wind power is significantly less expensive than solar energy.,Not Fake
2655,The Constitution simply does not authorize the federal government to own any of this land (in the Western states).,Fake
2656,"Says $800,000 cost of Texas special legislative session would pay for 1.6 million condoms, 90,000 months of the pill or 20 full-time sexual health educators.",Not Fake
2657,"(Deborah) Ross defends those who want to burn the American flag, and even called efforts to ban flag-burning ridiculous, yet refused to help a disabled veteran fly the flag.",Not Fake
2658,Texas agriculture is at 98 percent efficiency in water use and just about maxed out as to what we can do on the conservation end of it.,Not Fake
2659,An estimated 56 million Americans don't have bank accounts.,Not Fake
2660,Our president has labeled Americans as soft.,Not Fake
2661,ISIS leader Abu Bakr al Baghdadi was released by Obama in 2009.,Fake
2662,The NRA used to support expanded background checks.,Not Fake
2663,Going to public financing really disadvantages Democrats because you're not able to raise funds between the day you win the primaries and the time you're officially nominated.,Not Fake
2664,"[E]mployment in Gwinnett is up more than 3 percent over last year, and unemployment is the lowest of the five core metro counties.",Not Fake
2665,The average minimum wage worker is 35 years old.,Fake
2666,Ive been outspent by my opponents every time Ive run for U.S. Senate.,Fake
2667,"In the history of Republican primaries, Ive gotten the most votes in the history of the Republican party.",Fake
2668,"The Massachusetts Supreme Court...defined marriage as simply, quote,the establishment of intimacy ... I guess that would mean if you really had affection for your horse, I guess you could marry your horse.",Fake
2669,"The federal health care plan ""costs Texas taxpayers $2.4 billion per year.""",Fake
2670,"When the New Hampshire Legislature raised the gasoline tax, gas prices in the state were skyrocketing.",Fake
2671,Social Security didnt cause the debt crisis. Social Security had nothing to do with the debt crisis.,Not Fake
2672,Says that in the U.S. House of Representatives weve had bipartisan support for the repeal of Obamacare for getting rid of cap and trade for building the Keystone Pipeline.,Not Fake
2673,"We will spend $100 billion in Afghanistan this year, fixing roads, building bridges, training police officers, and more, [and] cutting the same things in our own country.",Fake
2674,The war in Iraq was a major factor in blowing the top off the price of oil.,Fake
2675,This type of mass violence does not happen in other advanced countries. It doesnt happen in other places with this kind of frequency.,Fake
2676,Says Mitt Romney did not pay taxes for 10 years.,Fake
2677,"A ""massive"" federal computer network will make your medical records available to ""millions of people"" with a ""complete lack of privacy and confidentiality,"" while doctors and hospitals who don't take part face ""stiff penalties.""",Fake
2678,Wrong precinct rules exacerbate our provisional ballot problems (and) HB 194 does nothing to solve the wrong-precinct problem.,Not Fake
2679,Says Donald Trump used undocumented labor to build the Trump Tower.,Not Fake
2680,Says Gov. Scott Walker has been rated Americas most factually-challenged politician.,Fake
2681,Sharron Angle would eliminate the Department of Education.,Not Fake
2682,An illegal immigrant who gains admission at a public college takes class space away from students who are legal residents.,Not Fake
2683,On whether BPs $20 billion fund to compensate oil spill victims is a slush fund.,Fake
2684,On in-state tuition for illegal immigrants.,Fake
2685,Says Jacky Rosen has refused to tell us whether she supports Bernie Sanders or Hillary Clinton.,Fake
2686,The five economic indicators that the federal government tracks - for the first time since August 2006 - were positive this October.,Not Fake
2687,Medicare has at least $80 billion worth of fraud a year. That's a full 20 percent of every dollar that's spent on Medicare goes to fraud.,Not Fake
2688,"In slashing $1.7 billion from Social Security, Rep. Jim Renacci may end up forcing the entire agency to ... shut down for a month, causing seniors to not get their benefits on time, halting claims processing, and forcing new retirees and disabled workers into a backlog.",Fake
2689,"Says Sen. Bill Nelson voted to spend $144,541 to see how monkeys react under the influence of cocaine.",Fake
2690,What were the old annual deficits under Republicans have now become the monthly deficits under Democrats.,Fake
2691,Says(President) Reagans second inaugural was moved inside the Capitol. It was. Because of a terrible snowstorm.,Not Fake
2692,"Says a poll shows that without a name attached, Democrats are just one point behind Gov. John Kasich.",Not Fake
2693,There were more people at the Air and Space Museum than at a rally against the health care bills.,Not Fake
2694,People for the Ethical Treatment of Animals estimates 200 animals will be spared annually as the result of former President Bill Clinton adopting a vegan diet.,Not Fake
2695,Says Texas did not bail out a loan program he oversaw as state agriculture commissioner.,Fake
2696,We spend almost twice as much per capita on health care as do the people of any other country.,Fake
2697,On repealing the 17th Amendment,Fake
2698,"Says Bruce Starr voted to throw 6,000 Oregonians off unemployment.",Not Fake
2699,We need to pass a carbon tax to stop climate change. Break up the Wall Street banks. And stop the government spying on innocent Americans. Cory Booker doesnt support any of these ideas.,Not Fake
2700,"Says while serving in the city council, Rachel Zenzinger voted to use tax dollars to take a taxpayer-funded junket to China.",Fake
2701,"The governor is trying to take credit for recent actions taken by these companies. The problem is that for all three companies, the decision to move or stay in New Jersey happened before Chris Christie became governor.",Not Fake
2702,My property taxes went down largely because my technical college portion went down 35.5% because of the money we put in at state.,Not Fake
2703,"Says more than 1 million Texans are jobless, the state has its highest unemployment rate in more than 20 years and joblessness doubled on Rick Perrys watch.",Not Fake
2704,"He has asked for $932-million of earmark pork-barrel spending, nearly a million dollars for every day that hes been in the United States Senate.",Not Fake
2705,"Canada ""does spills into their water to practice in the event that this would happen. That is not allowed in the United States.""",Not Fake
2706,"Lots of studies seem to indicate that minors find it very easy to get marijuana, easier than to get alcohol.",Fake
2707,"The geography of poverty has changed fundamentally in the last 15 years, with more of it concentrated in fragile and conflict states.",Not Fake
2708,"Russia has tremendous numbers of nuclear warheads 1,800, by the way where they expanded, and we didnt.",Not Fake
2709,"For every dollar we invest in Head Start, we get $5 to $7 back into our economy.",Not Fake
2710,Says President Obamas decision to not issue a permit for the Keystone XL pipeline meant we were denied the ability immediately to reduce prices at the pump.,Fake
2711,Says she is the subject of 60 books.,Not Fake
2712,Seven out of the 10 states with the lowest unemployment rates (have) Republican governors That approach that Republicans are using is working.,Not Fake
2713,"In writing his book, Gov. Perry pointed out that by any measure Social Security has been a failure.",Not Fake
2714,The stimulus created zero jobs.,Fake
2715,The health care law reduces the number of uninsured in America by 3 percent for how much money? $2 trillion.,Fake
2716,We import more oil today than ever before.,Fake
2717,"Will Hurd tends to have a 96 percent straight Republican, straight party voting record.",Not Fake
2718,Says Chris Christie vetoed Planned Parenthood funding five times over the course of his governorship.,Not Fake
2719,Greece is not a big economy. Its about the size of metropolitan Miami.,Not Fake
2720,Ive cut the budget of the (lieutenant governors) office by more than half.,Not Fake
2721,Forty cents of every dollar being spent by the federal government is being borrowed from my children.,Not Fake
2722,Cigarette butts poison babies and small children because of the nicotine in them.,Not Fake
2723,"One of the things I would immediately do is bring back the warrior class -- Petraeus, McChrystal, Mattis, Keane, Flynn. ... Every one was retired early because they told President Obama things that he didnt want to hear.",Fake
2724,"Says under his budget-repair bill, collective bargaining is fully intact.",Fake
2725,"Since I took office, over 319,000 new private sector jobs have been created in Georgia with nearly 93,000 of those coming in the past 12 months.",Not Fake
2726,And it's going to be difficult for us to do this as long as we're spending $275 million a day on a war that should have never been authorized...,Not Fake
2727,"Today in Selma, Ala., the poverty rate is roughly nine times that of whites.",Not Fake
2728,Says President Obama was proposing pinprick strikes for military intervention in Syria.,Fake
2729,Says there are no political prisoners in Cuba.,Fake
2730,Says Illinois Democrat David Gill would end Medicare.,Fake
2731,"First, he said he would leave residual forces in Iraq, and now he says he wouldn't.",Not Fake
2732,Says last year the graduation rate for our combined six-district footprint jumped 5.5 percent.,Not Fake
2733,"President Obama's own director of national intelligence, Admiral Blair, put it this way: 'High-value information came from interrogations in which those methods were used and provided a deeper understanding of the al-Qaida organization that was attacking this country.'",Not Fake
2734,"When he (Donald Trump) asked Florida to have casino gambling, we said no.",Not Fake
2735,Milwaukee police use deadly force at a rate that is among the lowest in the country.,Not Fake
2736,"When Sen. Edwards ran in 2004, he wasn't for universal health care. I'm glad he is now.",Not Fake
2737,Says Barbara Buono voted to raise her own pay 40 percent.,Not Fake
2738,Says Texas has the most uninsured people of any state -- 6 million.,Fake
2739,Ill be running against a career politician.,Not Fake
2740,Says Multnomah County libraries are open 44 hours per week the lowest of any library in the four-county region.,Not Fake
2741,Says Mike Huckabee appeared in diabetes infomercials to endorse cures and treatments that no health agency supports.,Not Fake
2742,"Says EPA regulation of greenhouse gases will endanger 575 Texas dairy facilities, 58 swine operations, 1,300 corn farms and 28,000 beef cattle operations.",Fake
2743,Facebook has unveiled new rules to stop their users from creatingposts related in any way to religion.,Fake
2744,"The Democrats are very sly. (in New Hampshire) we have same day voter registration, and to be honest, when Massachusetts elections are not very close, theyre busing them in all over the place.",Fake
2745,California has added twice as many jobs as Florida over the past year.,Not Fake
2746,"In the past two years in Congress, Ive written more bills, passed more amendments on the floor of the House and enacted more of my bills into law than any other member of the House.",Not Fake
2747,"Says Travis County Commissioner Gerald Daugherty claims to have taken a pay cut, but for 2016, he voted to raise his salary by 19.6 percent.",Fake
2748,"The Employment Non-Discrimination Act discriminates against Christian daycare, Christian parents, Christian business owners, and the rights of religious freedom.",Fake
2749,"Now, I also support the Bush tax cuts. Sen. McCain voted against them originally. He now believes they should be made permanent. I'm glad he agrees they should be made permanent.",Not Fake
2750,Irans defense budget is $30 billion. Our defense budget is closer to $600 billion.,Not Fake
2751,Brookhaven homeowners pay hundreds of dollars less in property taxes compared with owners of the same-value homes in unincorporated DeKalb County.,Not Fake
2752,The mosquito population in South Florida is larger than it is in many other communities in the country.,Not Fake
2753,Says health insurance premiums will rise under Obamacare.,Not Fake
2754,"Says Erv Nelson voted yes on the pro-amnesty SJR 21, a bill urgingCongress to provide citizenship for those residing illegally in our country.",Not Fake
2755,Virginia is the number one state per capita in screening out people with mental illness from gun purchases.,Not Fake
2756,Missouri is the state with the lowest paid workers.,Not Fake
2757,"The average student loan debt in Texas is over $22,000...the cost of an average size pickup truck. But unlike car owners, students are not allowed to refinance their loans at lower rates.",Not Fake
2758,Says Rick Scotts proposal for election reform only mandates 48 hours of early voting.,Not Fake
2759,On whether the state should ramp up borrowing to build roads.,Not Fake
2760,People think AIDS is done --its not done.,Not Fake
2761,Electricity rates are 40 percent higher in states that have required utility companies to use a certain amount of renewable energy such as solar power.,Not Fake
2762,"South Carolina has a labor shortage, specifically in the meatpacking industry.",Not Fake
2763,"When the City and the Fairmount Park Conservancy invested $5 million in Hunting Park, crime went down 89 percent within a half mile radius of the park over the next three years.",Not Fake
2764,"On day one, six people were able to sign up for health insurance through the federal marketplace.",Not Fake
2765,Lets start with the premise that Rhode Island already has one of the 10 strictest [gun laws] amongst all the states.,Not Fake
2766,"Says that in her speech to the pro-Israel group AIPAC, Hillary Clinton had one line on the Palestinian people.",Fake
2767,"Says in our region, 2011 was worst drought year ever recorded.",Not Fake
2768,"In the 1980s, The lowest income people had the biggest gains.",Fake
2769,Florida has issued more than 3 million conceal carry permits in the past 30 years. Only 168 have been revoked.,Not Fake
2770,"For every one job created under the Obama administration, 75 people went on food stamps.",Fake
2771,"Says that after she declared her candidacy for Congress, the redistricting process was manipulated to allow incumbent politicians to guarantee their re-election.",Fake
2772,Says Chris Koster opposes right-to-work efforts because he has taken $8 million from union bosses.,Not Fake
2773,Says Bush Jr. handed Obama a $1.4 trillion deficit and Obama reduced Bush Jr.s deficit to just $492 billion.,Not Fake
2774,Says President Barack Obama made unilateral changes to Obamacare 38 times.,Not Fake
2775,Broward Countys unemployment rate of 5.3 percent is the lowest in Florida.,Fake
2776,Obamacare could force thousands of volunteer fire stations to cut service or close entirely!,Not Fake
2777,The Wisconsin Retirement System for public employees is a self-funded pension plan and its the money of the workers that funds it.,Fake
2778,Ninety-five percent of the money used for union-operated worker training centers comes from employers.,Fake
2779,"If we got solar energy from an area of the Southwestern desert 100 miles on a side, that would be enough, in and of itself, to provide 100 percent of all the electricity needs for the United States of America in a full year.",Not Fake
2780,"I helped pass what, if enacted, would be the largest tax cut in Texas history through the State Senate.",Fake
2781,"Under Ryan plan,those 54 and younger would receive the same kind of healthcare options now enjoyed by members of Congress.",Fake
2782,Says Bernie Sanders was there when it came to (same-sex) marriage 20 years ago. ... He was there when it wasnt popular.,Not Fake
2783,David Dewhurst is the first lieutenant governor in history to have a personal security detail.,Not Fake
2784,The administration has issued rules for $1 abortions in ObamaCare and requires all persons enrolled in insurance plans that include elective abortion coverage to pay an abortion premium.,Fake
2785,Overwhelming Democrat and Republican votes in 2011 for legislation in two special sessions on jobs demonstrated the bipartisan nature of the Wisconsin Legislature.,Fake
2786,Says Gov. Rick Perry has never held a private-sector job.,Fake
2787,Says President Obama promised hed keep unemployment below 8 percent if the stimulus passed.,Fake
2788,Says Indiana Gov. Mike Pence advocated diverting taxpayer dollars to so-called conversion therapy.,Not Fake
2789,"Says Ted Cruz has pledged to eliminate the U.S. Department of Education, which would end federal aid to college students.",Not Fake
2790,We are in the bottom 10 in dollars in the classroom and the top 10 in dollars in the bureaucracy and red tape.,Not Fake
2791,"With 320,000 net Ohio manufacturing jobs lost, (Sen. Rob) Portman calls NAFTA a proven success.",Fake
2792,Kathryn Starkey only attended half of those meetings.,Not Fake
2793,Illegal immigration costs state taxpayers over $3 billion every year.,Fake
2794,"Says a liberal immigration reform group endorsed his GOP primary opponent, Dave Brat.",Fake
2795,Welders make more money than philosophers.,Fake
2796,Teddy Roosevelt first called for (health care) reform nearly a century ago.,Not Fake
2797,Says Mike Dovilla supports a plan that could allow a foreign corporation to take over the Ohio Turnpike ,Fake
2798,"Charlie Crist broke the quarter ""record for fundraising in a U.S. Senate race in Florida.""",Not Fake
2799,The Murray-Ryan deal is the first divided-government budget agreement since 1986.,Fake
2800,The American people spoke pretty loudly. They said stop all the looming tax hikes....,Fake
2801,"For the hour after the (Jan. 14) debate, Debra Medina was the No. 1 search on Google and for the remainder of that night No. 3.",Fake
2802,"Says state budget deal between Texas House and Senate leaders funds nursing homes, our public schools and universities and provides financial aid for college students.",Not Fake
2803,"When (John) Brennan ... was asked directly Is there any geographic limitation to your drone strike program? Brennan responded and said, no, there is no limitation.",Not Fake
2804,"Says Time magazine called him ""one of America's best governors.""",Not Fake
2805,On supporting the Supreme Court abortion decision Roe v. Wade,Not Fake
