statement,label,num_-,num_?,num_!,num_%,num_;,num_:,"num_""",num_(,num_$,"num_,",num_.,count_char,count_word,count_sent,count_char_per_word,count_unique,count_uppercase,count_month,sentiment_score,count_function,count_pronoun,count_ppron,count_i,count_we,count_you,count_shehe,count_they,count_ipron,count_article,count_prep,count_auxverb,count_adverb,count_conj,count_negate,count_verb,count_adj,count_compare,count_interrog,count_number,count_quant,count_affect,count_posemo,count_negemo,count_anx,count_anger,count_sad,count_social,count_family,count_friend,count_female,count_male,count_cogproc,count_insight,count_cause,count_discrep,count_tentat,count_certain,count_differ,count_percept,count_see,count_hear,count_feel,count_bio,count_body,count_health,count_sexual,count_ingest,count_drives,count_affiliation,count_achieve,count_power,count_reward,count_risk,count_focuspast,count_focuspresent,count_focusfuture,count_relativ,count_motion,count_space,count_time,count_work,count_leisure,count_home,count_money,count_relig,count_death,count_informal,count_swear,count_netspeak,count_assent,count_nonflu,count_filler
On supporting the Supreme Court abortion decision Roe v Wade,1.0,0,0,0,0,0,0,0,0,0,0,1,51,10,1,5.1,10,5,0,0.25,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
After four years of a celebrity president 85 of recent college grads are moving back in with their parents,0.0,0,0,0,1,0,0,0,1,0,0,1,88,19,1,4.631578947368421,17,1,0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,2,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,2,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,2,1,1,1,0,0
Hispanic unemployment has been ticking down from an alltime high of 139 percent because of the policies weve implemented,0.25,1,0,0,0,0,0,0,0,0,0,2,102,19,1,5.368421052631579,17,1,0,0.0022222222222222088,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Says Rick Perry cochaired Al Gores campaign for president,0.5,1,0,0,0,0,0,0,0,0,0,1,49,9,1,5.444444444444445,9,5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
I was totally against the war in Iraq,0.0,0,0,0,0,0,0,0,0,0,0,1,30,8,1,3.75,8,2,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
There have been literally hundreds of new tax preferences and loopholes added to the code since 1986 last time we did this,1.0,0,0,0,0,0,0,0,0,0,1,1,101,22,1,4.590909090909091,22,1,0,0.06818181818181818,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Says Suzanne Bonamici supports the 500 billion cut to Medicare passed last year,0.0,0,0,0,0,0,0,0,0,1,0,1,67,13,1,5.153846153846154,13,4,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gas will reach 4 a gallon under a capandtrade plan,0.25,2,0,0,0,0,0,0,0,1,0,1,41,10,1,4.1,8,1,0,0.0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,2,0,2,2,0,0,2,2,0,0,2,2,2,2,2,0,2,2,0,0,2,0,2,2,0,0,0,2,0,0,0,2,2,0,0,2,2,0,2,0,2,0,0,2,0,2,0,0,0,0,0,0,2,2,2,2,2,0,0
Were losing as many people to heroin and opioid overdoses as we lost to the AIDS epidemic at its peak,0.25,0,0,0,0,0,0,0,0,0,0,1,82,20,1,4.1,16,5,0,0.5,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2,0,0
Says Democratic Senate candidate Bruce Braley voted to cut 700 billion from Medicare to support Obamacare,0.5,0,0,0,0,0,0,0,0,1,0,1,90,16,1,5.625,14,7,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Preventive care coverage under the Affordable Care Act has already helped Granite Staters save money and live healthier lives,0.5,0,0,0,0,0,0,0,0,0,0,1,107,19,1,5.631578947368421,19,6,0,0.13636363636363635,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Says 25 percent of US Muslims agreed that violence against Americans here in the United States is justified as a part of the global jihad,0.25,0,0,0,0,0,0,0,0,0,0,3,113,25,1,4.52,21,7,0,0.2,0,0,0,0,0,0,0,2,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,1,1,2,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,1,2,0,0,1,0,1,0,0,1,0,0,0,1,2,1,1,2,0,0
1928 was last time Republicans had the White House the House and the Senate,0.0,0,0,0,0,0,0,0,0,0,1,1,62,14,1,4.428571428571429,9,5,0,0.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Hillary Clinton and Barack Obama want to raise taxes on all income brackets,0.0,0,0,0,0,0,0,0,0,0,0,1,63,13,1,4.846153846153846,13,4,0,0.0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
US Sen Saxby Chambliss votes more with Democrats than with conservatives,0.0,0,0,0,0,0,0,0,0,0,0,4,62,11,1,5.636363636363637,9,6,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
For the second quarter in a row my campaign has raised more money than any other challenger in the nation and brought our fundraising total to over 800000,1.0,0,0,0,0,0,0,0,0,1,2,1,127,28,1,4.535714285714286,24,1,0,0.09375,0,0,0,0,0,0,0,2,0,1,0,1,1,0,1,0,1,1,2,0,1,1,0,0,1,1,1,1,1,0,1,1,0,2,1,0,1,3,0,0,0,1,0,0,0,1,1,2,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,3,1,1,1,0,0
Says the recall elections that aimed to remove him and other Republican officials from office cost tens of millions of dollars to run,0.25,0,0,0,0,0,0,0,0,0,0,1,111,23,1,4.826086956521739,19,2,0,-0.125,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
In Wisconsin only half of all the adults with serious psychological distress received mental health treatment or medication,0.75,0,0,0,0,0,0,0,0,0,1,1,106,18,1,5.888888888888889,18,2,0,-0.12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
She stood by ground zero workers who sacrificed their health after so many sacrificed their lives and kept standing till this administration took action,1.0,0,0,0,0,0,0,0,0,0,0,1,129,24,1,5.375,20,1,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
On gift takingBob McDonnell took a fraction of what Tim Kaine took,-0.25,0,0,0,0,0,0,0,1,0,1,1,55,12,1,4.583333333333333,10,6,0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0
This is the first time since World War II that five nuclearpowered aircraft carriers were docked together,0.0,1,0,0,0,0,0,0,0,0,0,1,89,17,1,5.235294117647059,17,5,0,0.25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
While Exxon Mobil has 40 pages on its media response strategy its plan for resource protection is only five pages long and its plan for oil removal is just nine pages long,0.75,0,0,0,0,0,0,0,0,0,1,1,140,32,1,4.375,18,3,0,-0.03333333333333333,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,2,0,1,0,0,2,0,0,0,1,0
By voting to approve Question 1 we can    save 900 jobs at Twin River,0.25,0,0,0,0,0,0,0,0,0,1,4,53,14,1,3.7857142857142856,14,4,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
There hasnt been a Republican in the legislature or the City Council in Providence in over 30 years,0.25,0,0,0,0,0,0,0,0,0,0,1,82,18,1,4.555555555555555,13,5,0,0.0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,1,0,1,1,3,0,1,1,0,0,1,1,1,1,1,0,1,1,0,3,1,0,1,4,0,0,0,1,0,0,0,1,1,3,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,5,1,1,1,0,0
Ive never voted for a Democrat when there was a Republican on the ballot,0.5,0,0,0,0,0,0,0,0,0,0,1,59,14,1,4.214285714285714,12,3,0,0.0,1,1,1,0,0,0,0,1,1,2,0,2,2,1,2,0,2,2,0,0,2,2,0,0,2,2,2,2,2,0,2,2,0,0,2,0,2,2,0,0,0,2,0,0,0,2,2,0,0,3,2,0,2,0,2,0,0,2,1,2,0,0,0,0,1,0,2,3,2,2,2,1,0
Says US Senate rival Tommy Thompson wants to give a new 265000 tax cut to millionaires like himself while raising taxes on the middle class,0.5,0,0,0,0,0,0,0,0,1,1,3,115,25,1,4.6,23,6,0,0.11212121212121212,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,2,1,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0
The economic stimulus legislation could open billions of taxpayer dollars to leftwing groups like the Association of Community Organizations for Reform Now ACORN,0.25,1,0,0,0,0,0,0,2,0,0,1,139,23,1,6.043478260869565,21,11,0,0.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Exposure to the electromagnetic fields from power lines has been associated with childhood leukemia and other diseases,0.25,0,0,0,0,0,0,0,0,0,0,1,102,17,1,6.0,17,1,0,-0.125,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
At the 50 Milwaukee schools serving at least 80 AfricanAmerican and at least 80 low income students the reading proficiency is 8,1.0,1,0,0,3,0,0,0,0,0,1,1,107,22,1,4.863636363636363,14,4,0,-0.19999999999999998,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0
Says Obama replaced the American flag on the tail of his plane with his campaign logo,0.75,0,0,0,0,0,0,0,0,0,0,1,70,16,1,4.375,12,3,0,0.0,1,1,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Atlanta Mayor Kasim Reed held not one conversation with the public about the new Falcons stadium project,0.5,0,0,0,0,0,0,0,0,0,0,0,88,17,1,5.176470588235294,15,5,0,0.06818181818181818,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
I never said that Marco Rubio was Mark Zuckerbergs personal senator,-0.25,0,0,0,0,0,0,0,0,0,0,1,57,11,1,5.181818181818182,11,5,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The only two Donald Trump tax returns we have show that he hasnt paid a penny in taxes,0.25,0,0,0,0,0,0,0,1,0,0,1,69,18,1,3.8333333333333335,18,3,0,0.0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,2,0,0,0,2,0,0,0,2,1,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,2,2,1,1,0,0
In a budget deal struck in 2011 a trillion dollars of cuts went into effect immediately and then a special committee was set up  to get agreement on another 3 trillion of cuts,0.5,0,0,0,0,0,0,0,0,1,1,4,142,33,1,4.303030303030303,25,1,0,0.35714285714285715,1,1,1,0,0,0,0,0,1,3,0,3,3,1,3,0,3,3,1,0,3,3,0,0,3,3,3,3,3,0,3,3,0,1,3,0,3,4,0,0,0,3,0,0,0,3,3,1,0,4,3,0,3,0,3,0,0,3,1,3,0,0,0,0,1,0,3,4,3,3,3,1,0
If youre a small business and dont adopt the health care plan that Senator Obama mandates hes going to fine you,0.0,0,0,0,0,0,0,2,0,0,1,1,91,21,1,4.333333333333333,21,3,0,0.08333333333333334,0,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,2,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0
Weve lost 26 million jobs since Obamas been president,-0.25,0,0,0,0,0,0,0,1,0,0,1,45,9,1,5.0,9,2,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whether in Illinois or Washington Barack Obama has bridged partisanship to bring about significant reform,0.5,0,0,0,0,0,0,0,0,0,1,1,91,15,1,6.066666666666666,15,5,0,0.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0
I have cut taxes 63 times including a 2006 property tax reduction that ranks as the largest in state history,0.25,0,0,0,0,0,0,0,0,0,1,1,89,20,1,4.45,20,1,0,0.0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,2,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,2,0,0,1,0,1,0,0,0,0,0,0,1,2,1,1,2,0,0
New Jersey has the largest transit system in the entire country,0.75,0,0,0,0,0,0,0,0,0,0,1,53,11,1,4.818181818181818,9,2,0,0.06818181818181818,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
New jobs numbers are in and Wisconsin has fallen to dead last in Midwest job growth,0.0,0,0,0,0,0,0,0,0,0,1,1,68,16,1,4.25,14,3,0,-0.02121212121212122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Under the Baucus bill  federal funds would subsidize coverage of elective abortions,0.0,0,0,0,0,0,0,0,0,0,0,4,71,12,1,5.916666666666667,13,2,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Capandtrade is wildly unpopular with Americans,0.0,2,0,0,0,0,0,0,0,0,0,1,41,6,1,6.833333333333333,6,2,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
By registration fewer than 20 percent of Florida voters are Independents,1.0,0,0,0,0,0,0,0,0,0,0,1,62,11,1,5.636363636363637,11,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teachers were not involved in developing the Common Core State Standards,0.0,0,0,0,0,0,0,0,0,0,0,1,62,11,1,5.636363636363637,11,5,0,-0.3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
As a senator Hillary Clinton paid women less than the men in her office,0.25,0,0,0,0,0,0,0,0,0,1,1,58,14,1,4.142857142857143,14,3,0,-0.16666666666666666,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,2,0,0,0,1,0,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,2,1,1,1,0,0
Mark Warners record is one of acting against the Keystone XL pipeline,0.25,0,0,0,0,0,0,0,0,0,0,1,58,12,1,4.833333333333333,12,5,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
This parent trigger legislation was drafted by President Obamas top advisers It was drafted by President Clintons top advisers,0.0,0,0,0,0,0,0,0,1,0,0,2,108,19,1,5.684210526315789,7,6,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Says Ron Johnson voted to turn Medicare into a voucher program,0.75,0,0,0,0,0,0,0,0,0,0,1,52,11,1,4.7272727272727275,11,4,0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0
Says Bernie Sanders advocated putting Iranian troops into Syria to try and resolve the conflict there Putting them right on the doorstep of Israel,0.75,0,0,0,0,0,0,0,0,0,0,2,123,24,1,5.125,22,7,0,0.2857142857142857,1,1,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Barack Obamas church gave a lifetime achievement award to Louis Farrakhan,0.75,0,0,0,0,0,0,0,0,0,0,1,63,11,1,5.7272727272727275,11,4,0,0.0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0
Toothpaste contains the poison substance of fluoride,0.25,0,0,0,0,0,0,0,0,0,0,1,46,7,1,6.571428571428571,7,1,0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Today we import triple the amount of oil than we had on the day Senator McCain took office,1.0,0,0,0,0,0,0,0,0,0,1,1,73,18,1,4.055555555555555,14,4,0,0.0,1,1,1,0,2,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,1,0
Shutdowns are a normal part of the constitutional process with 12 shutdowns under Democratic House Speaker Tip ONeill and two during his own speakership,0.5,0,0,0,0,0,0,0,0,0,1,1,129,24,1,5.375,24,7,0,0.375,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,2,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0
Since 2007 Texas has gained 440000 people while Maryland has lost 20000,0.5,0,0,0,0,0,0,0,0,0,3,1,60,12,1,5.0,10,3,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Said state insurance commissioner candidate Ralph Hudgens fights hard to strip women of lifesaving coverage such as mammograms,0.5,1,0,0,0,0,0,0,0,0,0,1,109,18,1,6.055555555555555,18,3,0,-0.14583333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
My two appointments to the Florida Supreme Court Raul Cantero and Kenneth Bell have earned reputations as its most consistent conservatives,0.75,0,0,0,0,0,0,0,0,0,2,1,119,21,1,5.666666666666667,21,8,0,0.375,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Says legislation supported by gay rights activists would strip mother and father from future Texas birth certificates,0.25,0,0,0,0,0,0,0,0,0,0,1,101,17,1,5.9411764705882355,17,2,0,0.20833333333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Says Gerald Daugherty advocated lowering the penalty for crimes like strangulation in domestic violence cases because they just throw more people into the jail system,0.25,0,0,0,0,0,0,0,0,0,0,1,142,25,1,5.68,23,3,0,0.13333333333333333,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
